LMM GLMM GEE
-0.0167607851560175 -0.407567787105067 -0.396122638775128
-0.0251270119077312 -0.658797443106398 -0.645625981828818
-0.0152006614117608 -0.406119592195155 -0.382418417221874
-0.0188118130487235 -0.426921265509228 -0.433524281376744
-0.0192703737970784 -0.426238144401206 -0.435963935089265
-0.0117776429450315 -0.385479495676111 -0.361365740929477
-0.0159883381230726 -0.441342069954667 -0.432222999461349
-0.0175389395156379 -0.448594774522612 -0.4628226894465
-0.007 -0.180102618547465 -0.196175549917231
-0.00992308473037649 -0.265114423131677 -0.262297318796559
-0.0113394921776653 -0.306220364578687 -0.296707899223828
-0.00959848111292792 -0.267751815240038 -0.253607130554149
-0.0192763649971365 -0.482437989472983 -0.497021038374166
-0.0187242918001438 -0.500750061785998 -0.527515471052573
-0.0176300664259058 -0.488954603217195 -0.486189618677359
-0.00601113632572531 -0.13742333798056 -0.118342564822657
-0.0244027389660415 -0.644393908934688 -0.618427891139277
-0.0141733748196824 -0.306746162712002 -0.289412512276137
-0.0122292896631766 -0.335057966796195 -0.317932503079914
-0.0260226173496595 -0.654864971519239 -0.69576550498046
-0.0130180592190664 -0.298910219935169 -0.310012088186581
-0.021072578828458 -0.537987881246655 -0.587117523617412
-0.0113573366623774 -0.283791536810708 -0.277122745882385
0.00996226905563455 0.217476347431785 0.231458041446565
-0.0284962047677751 -0.681608238499733 -0.664071914863824
-0.0212810795932129 -0.505263171652712 -0.503278314749514
-0.0141707005427071 -0.35675951457643 -0.351260343728402
-0.0137834568417936 -0.351754765580267 -0.328680316609416
-0.0170750383342381 -0.422311975931284 -0.432248365726137
-0.0184972431313966 -0.40380685902726 -0.398752997212061
-0.0154116514045725 -0.371028069031941 -0.383383729076632
-0.021658635974048 -0.670018830577657 -0.662155906821192
-0.0177239823600731 -0.478014379405741 -0.467794364086953
-0.012222916283545 -0.287913381255515 -0.31207744946393
-0.00332544490140454 -0.0811335205610348 -0.0797408031649434
-0.0095709432410429 -0.227392571959532 -0.231248888084925
-0.0210004990868151 -0.585262483471398 -0.572320172159541
-0.0229051386751017 -0.582656655178397 -0.54722423290775
-0.0229922378614536 -0.669701374031297 -0.641840217585815
-0.00715733688985029 -0.141416965577855 -0.143920845026537
-0.0214301239668387 -0.624504746691575 -0.633389904294093
-0.0240221194407743 -0.55302404994979 -0.565781940106165
-0.0162196014374102 -0.380658888857642 -0.384829729934541
-0.0161433450226893 -0.375061252532718 -0.392126317606847
-0.0158136190408145 -0.398120463190323 -0.401940441669511
-0.0219505720956684 -0.539234964071243 -0.538354553868465
-0.020465359917432 -0.472020872944714 -0.482674160413241
-0.0216810352262598 -0.612617561778214 -0.59794554423167
-0.0225422063442573 -0.597548664567668 -0.573240767456915
-0.00732416239784033 -0.190405565229612 -0.184923259064323
-0.0160793561129806 -0.390699415351312 -0.388980018337631
-0.0211449084508383 -0.622553735743955 -0.622739048358628
-0.00357875342219564 -0.0954486700356793 -0.0905062160265699
-0.0168329275906163 -0.439342603618103 -0.43313028893891
-0.0213494871303306 -0.553830575754017 -0.555048796181809
-0.00680559604633604 -0.142883991449092 -0.137188364983466
-0.0161819961463345 -0.441272597860966 -0.446034897003697
-0.00918491204941261 -0.241072369652592 -0.234644700170571
-0.0115079829204169 -0.299918766826637 -0.310545004785686
-0.0168090375669206 -0.417448515429722 -0.403376478092014
-0.0130258507300057 -0.287803401937058 -0.268890276054676
-0.0110272930093203 -0.267185773883934 -0.250780753451713
-0.0198084901534814 -0.455478405121854 -0.461464278498566
-0.0157212594929979 -0.425041615906803 -0.405855997380314
