LMM GLMM GEE
-0.0197947922181037 -0.0242959407638054 -0.0185691668214361
-0.0303569605400497 -0.0260022265678317 -0.0286653724698197
-0.0153748315337155 -0.0144343091405249 -0.0149114933051137
-0.0120178576108597 -0.0154634225204651 -0.0125262358339797
-0.0117819658990306 -0.0140139366724456 -0.0123662040257815
-0.012469788653722 -0.0120863520007138 -0.0119304190523986
-0.0215206459105778 -0.0217923906853943 -0.0233234683786336
-0.0154840907414211 -0.0143857519865104 -0.0139264501968265
-0.0233193238906185 -0.025401211894044 -0.0231774091352365
-0.0218955659675266 -0.0232954370883448 -0.0217824534694067
-0.0190135382474377 -0.0228316783204213 -0.0198473493089213
-0.0208974070999845 -0.0210126559475482 -0.0201972551494014
-0.0199192376046605 -0.0220003045367836 -0.0199862160839432
-0.0165636087999178 -0.0190996327405014 -0.0176760216891914
-0.0264672394467664 -0.0261718253168121 -0.0253844590811156
-0.0258747276609774 -0.0260295118335063 -0.0258414369579111
-0.0290767934960534 -0.026761032951042 -0.0281072618130163
-0.0267806530884906 -0.0209598281892451 -0.0264593729020486
-0.0269467687391285 -0.0195174336548585 -0.0269608734684728
-0.0149774915680304 -0.019312671281458 -0.0147208458591783
-0.0240171091613989 -0.0253941506845346 -0.0235358424125088
-0.0348673536919293 -0.0320386836734444 -0.0326262281715336
-0.0156713105076484 -0.0172209412568179 -0.0159696413517898
-0.0316239186225818 -0.0291317789013069 -0.0292556924684437
-0.0223319742736056 -0.0217665264313921 -0.0205566935700036
-0.0152764819214304 -0.0130867200605746 -0.0162371792846463
-0.0137492328443118 -0.0165184420771579 -0.0151514796383617
-0.0104243769439037 -0.0100903895326181 -0.0109488911428582
-0.0193012229921472 -0.021052114858288 -0.0192250762828824
-0.0133651487735192 -0.0190337412150631 -0.0138077968535737
-0.0202324912683398 -0.0163359557723626 -0.0190763949363349
-0.0263268909707232 -0.0272386224157871 -0.0260157750526742
-0.0283105101279224 -0.0277751148038949 -0.0315595202615677
-0.0174839871832616 -0.0179242969712171 -0.0169384687216877
-0.0142015567505919 -0.0136686696453051 -0.0122566752926361
-0.0152714541591983 -0.0153541050489356 -0.0161614464696357
-0.0188811804761948 -0.019242074611406 -0.0190241272069826
-0.018766083459795 -0.0211907073984737 -0.0167911583839337
-0.0171579618586362 -0.0118016584946691 -0.0171300283982986
-0.00854382967955742 -0.011862102316411 -0.00845989413672591
-0.0185439976781418 -0.0204476778849926 -0.0203873768562159
-0.0286364090203981 -0.0301726056561351 -0.0290792510654282
-0.0241521639728297 -0.0222571790368804 -0.0249549452334542
-0.0202909983783966 -0.021042660624212 -0.0201214551611233
